subject,activity,domain,acceleration_signal,signal_type,signal_dimension,function,axis,avg_value
2,standing,time,body,accelerometer,NA,mean,z,-0.115649958175497
2,standing,time,body,accelerometer,NA,std,x,-0.605586497159271
2,standing,time,body,accelerometer,NA,std,y,-0.428962986589404
2,standing,time,body,accelerometer,NA,std,z,-0.589360062210596
2,standing,time,body,gyroscope,jerk,mean,x,-0.0875587491668874
2,standing,time,body,gyroscope,jerk,mean,y,-0.0433986835453642
2,standing,time,body,gyroscope,jerk,mean,z,-0.0557541828188742
2,standing,time,body,gyroscope,jerk,std,x,-0.671679103311258
2,standing,time,body,gyroscope,jerk,std,y,-0.783595466728477
2,standing,time,body,gyroscope,jerk,std,z,-0.674611933293046
2,standing,time,body,gyroscope,jerk magnitude,mean,NA,-0.746559539039735
2,standing,time,body,gyroscope,jerk magnitude,std,NA,-0.740088733655629
2,standing,time,body,gyroscope,magnitude,mean,NA,-0.614771054893146
2,standing,time,body,gyroscope,magnitude,std,NA,-0.680584887880795
2,standing,time,body,gyroscope,NA,mean,x,-0.0517030657821192
2,standing,time,body,gyroscope,NA,mean,y,-0.0568420186817881
2,standing,time,body,gyroscope,NA,mean,z,0.0872599422291391
2,standing,time,body,gyroscope,NA,std,x,-0.710648927815894
2,standing,time,body,gyroscope,NA,std,y,-0.722943674337748
2,standing,time,body,gyroscope,NA,std,z,-0.634888927843046
2,standing,time,gravity,accelerometer,magnitude,mean,NA,-0.535281800541722
2,standing,time,gravity,accelerometer,magnitude,std,NA,-0.552812545643709
2,standing,time,gravity,accelerometer,NA,mean,x,0.660782866688742
2,standing,time,gravity,accelerometer,NA,mean,y,-0.147219886910411
2,standing,time,gravity,accelerometer,NA,mean,z,0.134865335090728
2,standing,time,gravity,accelerometer,NA,std,x,-0.963015508245033
2,standing,time,gravity,accelerometer,NA,std,y,-0.960033560165563
2,standing,time,gravity,accelerometer,NA,std,z,-0.945365383907285
3,walking,frequency,body,accelerometer,jerk,mean,x,-0.645893496630499
3,walking,frequency,body,accelerometer,jerk,mean,y,-0.582949919157742
3,walking,frequency,body,accelerometer,jerk,mean,z,-0.780101644193548
3,walking,frequency,body,accelerometer,jerk,std,x,-0.657844055881525
3,walking,frequency,body,accelerometer,jerk,std,y,-0.559851186088408
3,walking,frequency,body,accelerometer,jerk,std,z,-0.81080601659824
3,walking,frequency,body,accelerometer,jerk magnitude,mean,NA,-0.604752108072727
3,walking,frequency,body,accelerometer,jerk magnitude,std,NA,-0.615643694857361
3,walking,frequency,body,accelerometer,magnitude,mean,NA,-0.579076453758064
3,walking,frequency,body,accelerometer,magnitude,std,NA,-0.663079838985044
3,walking,frequency,body,accelerometer,NA,mean,x,-0.625733289873607
3,walking,frequency,body,accelerometer,NA,mean,y,-0.501779938505279
3,walking,frequency,body,accelerometer,NA,mean,z,-0.699656828592375
3,walking,frequency,body,accelerometer,NA,std,x,-0.623805015199413
3,walking,frequency,body,accelerometer,NA,std,y,-0.502753639795894
3,walking,frequency,body,accelerometer,NA,std,z,-0.657443765803519
3,walking,frequency,body,gyroscope,jerk magnitude,mean,NA,-0.810085498651026
3,walking,frequency,body,gyroscope,jerk magnitude,std,NA,-0.810032718739003
3,walking,frequency,body,gyroscope,magnitude,mean,NA,-0.716822144279179
3,walking,frequency,body,gyroscope,magnitude,std,NA,-0.703839403007038
3,walking,frequency,body,gyroscope,NA,mean,x,-0.642097719778592
3,walking,frequency,body,gyroscope,NA,mean,y,-0.775144985073314
3,walking,frequency,body,gyroscope,NA,mean,z,-0.670734708996481
3,walking,frequency,body,gyroscope,NA,std,x,-0.719276622702346
3,walking,frequency,body,gyroscope,NA,std,y,-0.758505287214076
3,walking,frequency,body,gyroscope,NA,std,z,-0.751008875659824
3,walking,time,body,accelerometer,jerk,mean,x,0.0701731261988856
3,walking,time,body,accelerometer,jerk,mean,y,0.0144664329060411
3,walking,time,body,accelerometer,jerk,mean,z,-0.000526818872875366
3,walking,time,body,accelerometer,jerk,std,x,-0.635484688041056
3,walking,time,body,accelerometer,jerk,std,y,-0.55721186773783
3,walking,time,body,accelerometer,jerk,std,z,-0.796066240234604
3,walking,time,body,accelerometer,jerk magnitude,mean,NA,-0.650182434328446
3,walking,time,body,accelerometer,jerk magnitude,std,NA,-0.607658214170381
3,walking,time,body,accelerometer,magnitude,mean,NA,-0.563140802770059
3,walking,time,body,accelerometer,magnitude,std,NA,-0.591224780306452
3,walking,time,body,accelerometer,NA,mean,x,0.273428719636364
3,walking,time,body,accelerometer,NA,mean,y,-0.017856067384956
3,walking,time,body,accelerometer,NA,mean,z,-0.106492632429097
3,walking,time,body,accelerometer,NA,std,x,-0.623413602046921
3,walking,time,body,accelerometer,NA,std,y,-0.480015920697654
3,walking,time,body,accelerometer,NA,std,z,-0.653625579293255
3,walking,time,body,gyroscope,jerk,mean,x,-0.0991554609633431
3,walking,time,body,gyroscope,jerk,mean,y,-0.0401923943695015
3,walking,time,body,gyroscope,jerk,mean,z,-0.0521178264170088
3,walking,time,body,gyroscope,jerk,std,x,-0.689328428607038
3,walking,time,body,gyroscope,jerk,std,y,-0.842659862111437
3,walking,time,body,gyroscope,jerk,std,z,-0.743028500565982
3,walking,time,body,gyroscope,jerk magnitude,mean,NA,-0.784056656246334
3,walking,time,body,gyroscope,jerk magnitude,std,NA,-0.80366136372434
3,walking,time,body,gyroscope,magnitude,mean,NA,-0.643150121648094
3,walking,time,body,gyroscope,magnitude,std,NA,-0.674010290979472
3,walking,time,body,gyroscope,NA,mean,x,-0.0248490682828446
3,walking,time,body,gyroscope,NA,mean,y,-0.0743565308442815
3,walking,time,body,gyroscope,NA,mean,z,0.0866875497119062
3,walking,time,body,gyroscope,NA,std,x,-0.699262195705865
3,walking,time,body,gyroscope,NA,std,y,-0.76302218170088
3,walking,time,body,gyroscope,NA,std,z,-0.709483440322581
3,walking,time,gravity,accelerometer,magnitude,mean,NA,-0.563140802770059
3,walking,time,gravity,accelerometer,magnitude,std,NA,-0.591224780306452
3,walking,time,gravity,accelerometer,NA,mean,x,0.707814353343108
3,walking,time,gravity,accelerometer,NA,mean,y,-0.0260590480328739
3,walking,time,gravity,accelerometer,NA,mean,z,0.0480937904190616
3,walking,time,gravity,accelerometer,NA,std,x,-0.966457565630499
3,walking,time,gravity,accelerometer,NA,std,y,-0.9445645371261
3,walking,time,gravity,accelerometer,NA,std,z,-0.926966278211144
4,standing,frequency,body,accelerometer,jerk,mean,x,-0.652023078038801
4,standing,frequency,body,accelerometer,jerk,mean,y,-0.601696223759495
4,standing,frequency,body,accelerometer,jerk,mean,z,-0.825154871135647
4,standing,frequency,body,accelerometer,jerk,std,x,-0.644622004704416
4,standing,frequency,body,accelerometer,jerk,std,y,-0.593855151524606
4,standing,frequency,body,accelerometer,jerk,std,z,-0.860544668359621
4,standing,frequency,body,accelerometer,jerk magnitude,mean,NA,-0.63501900541041
4,standing,frequency,body,accelerometer,jerk magnitude,std,NA,-0.666506718936908
4,standing,frequency,body,accelerometer,magnitude,mean,NA,-0.602098037677603
4,standing,frequency,body,accelerometer,magnitude,std,NA,-0.672948341687697
4,standing,frequency,body,accelerometer,NA,mean,x,-0.628806379100946
4,standing,frequency,body,accelerometer,NA,mean,y,-0.52583456615142
4,standing,frequency,body,accelerometer,NA,mean,z,-0.755235428895899
4,standing,frequency,body,accelerometer,NA,std,x,-0.597551324155678
4,standing,frequency,body,accelerometer,NA,std,y,-0.534661524341987
4,standing,frequency,body,accelerometer,NA,std,z,-0.708764043722397
4,standing,frequency,body,gyroscope,jerk magnitude,mean,NA,-0.838833209652997
4,standing,frequency,body,gyroscope,jerk magnitude,std,NA,-0.863096864037855
4,standing,frequency,body,gyroscope,magnitude,mean,NA,-0.745650754608833
4,standing,frequency,body,gyroscope,magnitude,std,NA,-0.732586304826498
4,standing,frequency,body,gyroscope,NA,mean,x,-0.641881977553943
4,standing,frequency,body,gyroscope,NA,mean,y,-0.831527531009464
4,standing,frequency,body,gyroscope,NA,mean,z,-0.689308946422713
4,standing,frequency,body,gyroscope,NA,std,x,-0.721749187328076
4,standing,frequency,body,gyroscope,NA,std,y,-0.782885735867508
4,standing,frequency,body,gyroscope,NA,std,z,-0.7670895729653
4,standing,time,body,accelerometer,jerk,mean,x,0.0788637845151419
4,standing,time,body,accelerometer,jerk,mean,y,0.00351340949514196
4,standing,time,body,accelerometer,jerk,mean,z,-0.00737375142832808
4,standing,time,body,accelerometer,jerk,std,x,-0.631853083289621
4,standing,time,body,accelerometer,jerk,std,y,-0.584063204701893
4,standing,time,body,accelerometer,jerk,std,z,-0.843353231167192
4,standing,time,body,accelerometer,jerk magnitude,mean,NA,-0.656116311856877
4,standing,time,body,accelerometer,jerk magnitude,std,NA,-0.647249966810726
4,standing,time,body,accelerometer,magnitude,mean,NA,-0.56158213510694
4,standing,time,body,accelerometer,magnitude,std,NA,-0.606556049548896
4,standing,time,body,accelerometer,NA,mean,x,0.274183111498423
4,standing,time,body,accelerometer,NA,mean,y,-0.0148081545344921
4,standing,time,body,accelerometer,NA,mean,z,-0.107521430810726
4,standing,time,body,accelerometer,NA,std,x,-0.605211727785489
4,standing,time,body,accelerometer,NA,std,y,-0.509929384011325
4,standing,time,body,accelerometer,NA,std,z,-0.709492735962145
4,standing,time,body,gyroscope,jerk,mean,x,-0.107859315713249
4,standing,time,body,gyroscope,jerk,mean,y,-0.0400427574662461
4,standing,time,body,gyroscope,jerk,mean,z,-0.0578089304000631
4,standing,time,body,gyroscope,jerk,std,x,-0.723788617823344
4,standing,time,body,gyroscope,jerk,std,y,-0.902502592618297
4,standing,time,body,gyroscope,jerk,std,z,-0.748369141315457
4,standing,time,body,gyroscope,jerk magnitude,mean,NA,-0.819191368044164
4,standing,time,body,gyroscope,jerk magnitude,std,NA,-0.844187064164038
4,standing,time,body,gyroscope,magnitude,mean,NA,-0.656291093847319
4,standing,time,body,gyroscope,magnitude,std,NA,-0.706738493542587
4,standing,time,body,gyroscope,NA,mean,x,-0.0289417906907571
4,standing,time,body,gyroscope,NA,mean,y,-0.0787229907785489
4,standing,time,body,gyroscope,NA,mean,z,0.0957174866009464
4,standing,time,body,gyroscope,NA,std,x,-0.701397703369085
4,standing,time,body,gyroscope,NA,std,y,-0.79823574873817
4,standing,time,body,gyroscope,NA,std,z,-0.726374197066246
4,standing,time,gravity,accelerometer,magnitude,mean,NA,-0.56158213510694
4,standing,time,gravity,accelerometer,magnitude,std,NA,-0.606556049548896
4,standing,time,gravity,accelerometer,NA,mean,x,0.706593043123028
4,standing,time,gravity,accelerometer,NA,mean,y,0.112591195496986
4,standing,time,gravity,accelerometer,NA,mean,z,0.164130896618297
4,standing,time,gravity,accelerometer,NA,std,x,-0.962636979274448
4,standing,time,gravity,accelerometer,NA,std,y,-0.941416800167192
4,standing,time,gravity,accelerometer,NA,std,z,-0.941403426072555
5,walking,frequency,body,accelerometer,jerk,mean,x,-0.604769869438742
5,walking,frequency,body,accelerometer,jerk,mean,y,-0.550991969857417
5,walking,frequency,body,accelerometer,jerk,mean,z,-0.768762357980132
5,walking,frequency,body,accelerometer,jerk,std,x,-0.584013626983444
5,walking,frequency,body,accelerometer,jerk,std,y,-0.491500434303907
5,walking,frequency,body,accelerometer,jerk,std,z,-0.798835563807947
5,walking,frequency,body,accelerometer,jerk magnitude,mean,NA,-0.573176177044172
5,walking,frequency,body,accelerometer,jerk magnitude,std,NA,-0.613485123609272
5,walking,frequency,body,accelerometer,magnitude,mean,NA,-0.528503022745033
5,walking,frequency,body,accelerometer,magnitude,std,NA,-0.594259529756954
5,walking,frequency,body,accelerometer,NA,mean,x,-0.55123770513245
5,walking,frequency,body,accelerometer,NA,mean,y,-0.440232431795033
5,walking,frequency,body,accelerometer,NA,mean,z,-0.696171811490066
5,walking,frequency,body,accelerometer,NA,std,x,-0.492829885748675
5,walking,frequency,body,accelerometer,NA,std,y,-0.422162171100331
5,walking,frequency,body,accelerometer,NA,std,z,-0.649351210748344
5,walking,frequency,body,gyroscope,jerk magnitude,mean,NA,-0.748829309536424
5,walking,frequency,body,gyroscope,jerk magnitude,std,NA,-0.735610602483444
5,walking,frequency,body,gyroscope,magnitude,mean,NA,-0.677355755703311
5,walking,frequency,body,gyroscope,magnitude,std,NA,-0.715731148145695
5,walking,frequency,body,gyroscope,NA,mean,x,-0.632239300829801
5,walking,frequency,body,gyroscope,NA,mean,y,-0.71706218781457
5,walking,frequency,body,gyroscope,NA,mean,z,-0.537329127293278
5,walking,frequency,body,gyroscope,NA,std,x,-0.73573857718543
5,walking,frequency,body,gyroscope,NA,std,y,-0.702290390960265
5,walking,frequency,body,gyroscope,NA,std,z,-0.669353687483444
5,walking,time,body,accelerometer,jerk,mean,x,0.0841019899622517
5,walking,time,body,accelerometer,jerk,mean,y,0.0017656830384106
5,walking,time,body,accelerometer,jerk,mean,z,-0.0029537113427351
5,walking,time,body,accelerometer,jerk,std,x,-0.575890535679801
5,walking,time,body,accelerometer,jerk,std,y,-0.506544358609603
5,walking,time,body,accelerometer,jerk,std,z,-0.78456199486755
5,walking,time,body,accelerometer,jerk magnitude,mean,NA,-0.589313870006622
5,walking,time,body,accelerometer,jerk magnitude,std,NA,-0.589031268133113
5,walking,time,body,accelerometer,magnitude,mean,NA,-0.460866415568709
5,walking,time,body,accelerometer,magnitude,std,NA,-0.52162345171192
5,walking,time,body,accelerometer,NA,mean,x,0.279177960301325
5,walking,time,body,accelerometer,NA,mean,y,-0.0154833455336192
5,walking,time,body,accelerometer,NA,mean,z,-0.105661736816887
5,walking,time,body,accelerometer,NA,std,x,-0.507691011391722
5,walking,time,body,accelerometer,NA,std,y,-0.402724906078146
5,walking,time,body,accelerometer,NA,std,z,-0.646443640175497
5,walking,time,body,gyroscope,jerk,mean,x,-0.103522877147351
5,walking,time,body,gyroscope,jerk,mean,y,-0.0490624519374172
5,walking,time,body,gyroscope,jerk,mean,z,-0.0506258160122517
5,walking,time,body,gyroscope,jerk,std,x,-0.662581310334437
5,walking,time,body,gyroscope,jerk,std,y,-0.774114270364238
5,walking,time,body,gyroscope,jerk,std,z,-0.564680771249007
5,walking,time,body,gyroscope,jerk magnitude,mean,NA,-0.707383517582782
5,walking,time,body,gyroscope,jerk magnitude,std,NA,-0.734187493344371
5,walking,time,body,gyroscope,magnitude,mean,NA,-0.602770284825828
5,walking,time,body,gyroscope,magnitude,std,NA,-0.664078383532781
5,walking,time,body,gyroscope,NA,mean,x,-0.0294516873643046
5,walking,time,body,gyroscope,NA,mean,y,-0.0774316445596026
5,walking,time,body,gyroscope,NA,mean,z,0.0866267116745033
5,walking,time,body,gyroscope,NA,std,x,-0.709955676983444
5,walking,time,body,gyroscope,NA,std,y,-0.705638306688742
5,walking,time,body,gyroscope,NA,std,z,-0.606589817380795
5,walking,time,gravity,accelerometer,magnitude,mean,NA,-0.460866415568709
5,walking,time,gravity,accelerometer,magnitude,std,NA,-0.52162345171192
5,walking,time,gravity,accelerometer,NA,mean,x,0.698153719072848
5,walking,time,gravity,accelerometer,NA,mean,y,0.112313109736755
5,walking,time,gravity,accelerometer,NA,mean,z,0.0921607197449904
5,walking,time,gravity,accelerometer,NA,std,x,-0.964629108807947
5,walking,time,gravity,accelerometer,NA,std,y,-0.939973777950331
5,walking,time,gravity,accelerometer,NA,std,z,-0.94207867884106
6,walking,frequency,body,accelerometer,jerk,mean,x,-0.549394273848923
6,walking,frequency,body,accelerometer,jerk,mean,y,-0.503558973703692
6,walking,frequency,body,accelerometer,jerk,mean,z,-0.720867157741538
6,walking,frequency,body,accelerometer,jerk,std,x,-0.555346159400332
6,walking,frequency,body,accelerometer,jerk,std,y,-0.437837459287385
6,walking,frequency,body,accelerometer,jerk,std,z,-0.755751144098462
6,walking,frequency,body,accelerometer,jerk magnitude,mean,NA,-0.494882316238462
6,walking,frequency,body,accelerometer,jerk magnitude,std,NA,-0.516711262173969
6,walking,frequency,body,accelerometer,magnitude,mean,NA,-0.473974924380431
6,walking,frequency,body,accelerometer,magnitude,std,NA,-0.570910289993846
6,walking,frequency,body,accelerometer,NA,mean,x,-0.506174926221538
6,walking,frequency,body,accelerometer,NA,mean,y,-0.392041410138769
6,walking,frequency,body,accelerometer,NA,mean,z,-0.683725945015385
6,walking,frequency,body,accelerometer,NA,std,x,-0.506680276530492
6,walking,frequency,body,accelerometer,NA,std,y,-0.396677793847908
6,walking,frequency,body,accelerometer,NA,std,z,-0.694365207233846
6,walking,frequency,body,gyroscope,jerk magnitude,mean,NA,-0.651886909221538
6,walking,frequency,body,gyroscope,jerk magnitude,std,NA,-0.660175875210246
6,walking,frequency,body,gyroscope,magnitude,mean,NA,-0.579130051151385
6,walking,frequency,body,gyroscope,magnitude,std,NA,-0.657368673849846
6,walking,frequency,body,gyroscope,NA,mean,x,-0.537201442069846
6,walking,frequency,body,gyroscope,NA,mean,y,-0.621188724858462
6,walking,frequency,body,gyroscope,NA,mean,z,-0.507604207506462
6,walking,frequency,body,gyroscope,NA,std,x,-0.692862440004
6,walking,frequency,body,gyroscope,NA,std,y,-0.633236229753846
6,walking,frequency,body,gyroscope,NA,std,z,-0.67302031484
6,walking,time,body,accelerometer,jerk,mean,x,0.0813833604034769
6,walking,time,body,accelerometer,jerk,mean,y,0.000479281129661539
6,walking,time,body,accelerometer,jerk,mean,z,-0.00225896302076923
6,walking,time,body,accelerometer,jerk,std,x,-0.531468310262154
6,walking,time,body,accelerometer,jerk,std,y,-0.454437496885815
6,walking,time,body,accelerometer,jerk,std,z,-0.738955207627692
6,walking,time,body,accelerometer,jerk magnitude,mean,NA,-0.551413652396923
6,walking,time,body,accelerometer,jerk magnitude,std,NA,-0.502935062310769
6,walking,time,body,accelerometer,magnitude,mean,NA,-0.464770006998123
6,walking,time,body,accelerometer,magnitude,std,NA,-0.483790606354154
6,walking,time,body,accelerometer,NA,mean,x,0.272376614181538
6,walking,time,body,accelerometer,NA,mean,y,-0.0175697042641846
6,walking,time,body,accelerometer,NA,mean,z,-0.11599454136
6,walking,time,body,accelerometer,NA,std,x,-0.505086085072062
6,walking,time,body,accelerometer,NA,std,y,-0.368403670137262
6,walking,time,body,accelerometer,NA,std,z,-0.672512004586708
6,walking,time,body,gyroscope,jerk,mean,x,-0.0829159966093231
6,walking,time,body,gyroscope,jerk,mean,y,-0.0454921005615385
6,walking,time,body,gyroscope,jerk,mean,z,-0.0533610323667692
6,walking,time,body,gyroscope,jerk,std,x,-0.546009968372308
6,walking,time,body,gyroscope,jerk,std,y,-0.677635980501539
6,walking,time,body,gyroscope,jerk,std,z,-0.526908306306892
6,walking,time,body,gyroscope,jerk magnitude,mean,NA,-0.621936158532308
6,walking,time,body,gyroscope,jerk magnitude,std,NA,-0.644474485460492
6,walking,time,body,gyroscope,magnitude,mean,NA,-0.549494852037046
6,walking,time,body,gyroscope,magnitude,std,NA,-0.579837818063692
6,walking,time,body,gyroscope,NA,mean,x,-0.0433611785374462
6,walking,time,body,gyroscope,NA,mean,y,-0.0706129097498462
6,walking,time,body,gyroscope,NA,mean,z,0.0973130293888923
6,walking,time,body,gyroscope,NA,std,x,-0.653800660041538
6,walking,time,body,gyroscope,NA,std,y,-0.626252072652308
6,walking,time,body,gyroscope,NA,std,z,-0.599910232855692
6,walking,time,gravity,accelerometer,magnitude,mean,NA,-0.464770006998123
6,walking,time,gravity,accelerometer,magnitude,std,NA,-0.483790606354154
6,walking,time,gravity,accelerometer,NA,mean,x,0.688702063569231
6,walking,time,gravity,accelerometer,NA,mean,y,0.0162055455953846
6,walking,time,gravity,accelerometer,NA,mean,z,0.0475199990906462
6,walking,time,gravity,accelerometer,NA,std,x,-0.958898709015385
6,walking,time,gravity,accelerometer,NA,std,y,-0.9509348864
6,walking,time,gravity,accelerometer,NA,std,z,-0.937910223507692
7,walking,frequency,body,accelerometer,jerk,mean,x,-0.637521940243831
7,walking,frequency,body,accelerometer,jerk,mean,y,-0.641687333850227
7,walking,frequency,body,accelerometer,jerk,mean,z,-0.642515716574286
7,walking,frequency,body,accelerometer,jerk,std,x,-0.626785744584416
7,walking,frequency,body,accelerometer,jerk,std,y,-0.62853163071948
7,walking,frequency,body,accelerometer,jerk,std,z,-0.684856438953896
7,walking,frequency,body,accelerometer,jerk magnitude,mean,NA,-0.553360009658182
7,walking,frequency,body,accelerometer,jerk magnitude,std,NA,-0.550683254908442
7,walking,frequency,body,accelerometer,magnitude,mean,NA,-0.518323878824675
7,walking,frequency,body,accelerometer,magnitude,std,NA,-0.583819796092208
7,walking,frequency,body,accelerometer,NA,mean,x,-0.593011288564935
7,walking,frequency,body,accelerometer,NA,mean,y,-0.563547785174026
